"gene","contrast","logFC","P.Value","adj.P.Val","pi_eq2"
"GOT2","Cancer_vs_Healthy",-0.471119809272238,0.144812967864243,0.280764594699757,0.402383133122604
"MYL3","Cancer_vs_Healthy",-1.05885324582777,0.0612155098700818,0.160749125155024,0.0519355016731805
"MT-CO2","Cancer_vs_Healthy",-0.340630751599342,0.0769915789901959,0.18900283966094,0.417530609339732
"PRDX1","Cancer_vs_Healthy",0.287530193688482,0.13541781813031,0.267127818467487,0.562769533439433
"ALDOC","Cancer_vs_Healthy",-0.153032566755829,0.411534500443632,0.564658163571662,0.872954481068173
"CYCS","Cancer_vs_Healthy",0.277226547896721,0.186844000809822,0.334513274312305,0.628108516349146
"TPM1","Cancer_vs_Healthy",-0.0977471083102017,0.857469964568921,0.901569800307599,0.985081906420539
"PPIA","Cancer_vs_Healthy",1.11062725085068,0.00122968534857094,0.013317925058469,0.000585930235366885
"GPD1","Cancer_vs_Healthy",0.746443578673919,0.00245123921795519,0.0202721749276755,0.0112544355035071
"CFL1","Cancer_vs_Healthy",0.645837953271307,0.00743628761018704,0.0410676508587264,0.0421930607624186
"VIM","Cancer_vs_Healthy",2.73008494764979,0.00020121389809521,0.00407162240851489,8.1034932614535e-11
"CS","Cancer_vs_Healthy",-0.227187539361687,0.195693365335212,0.345729731274535,0.690327092120377
"DECR1","Cancer_vs_Healthy",-0.0142247663972235,0.947883076012968,0.967319085966073,0.999238921636912
"HSPA8","Cancer_vs_Healthy",0.218009618210523,0.131661464007759,0.263541816567484,0.642737327998329
"HADHA","Cancer_vs_Healthy",-0.483250201853799,0.0027840428439538,0.0219375294329411,0.0582289715818998
"ACO2","Cancer_vs_Healthy",-0.319786479429357,0.0818649750091226,0.195857771711519,0.449183173009138
"LGALS1","Cancer_vs_Healthy",1.18288364491769,0.00013306168252578,0.00330592325868438,2.60139138554995e-05
"BLVRB","Cancer_vs_Healthy",1.68150470230199,5.78943637279335e-05,0.00194780297898004,7.49640408005618e-08
"ACAT1","Cancer_vs_Healthy",-0.331565797535799,0.0228927750658523,0.083328862966845,0.285845990888369
"ANXA2","Cancer_vs_Healthy",1.89882617030562,0.00049937556372445,0.00730721787999914,5.38130155124984e-07
"CSRP3","Cancer_vs_Healthy",-0.757505838585423,0.00446916023498699,0.0294513039759895,0.0165971079807873
"LDB3","Cancer_vs_Healthy",-0.415874011092196,0.0535125717909338,0.146263646847411,0.295936016104125
"AKR1A1","Cancer_vs_Healthy",0.309681902099154,0.0987500637142869,0.219566161979689,0.488232206780981
"GSTM2","Cancer_vs_Healthy",0.168361617516947,0.435488688827376,0.586825272913443,0.869395851317827
